seed,summary_type,model_variant,attack_variant,threshold,config_label,mode,p_delete,p_add,max_additions,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,abstained_fraction,correct_abstained_fraction,correct_zero_radius_fraction,positive_certified_fraction,max_reported_radius,mean_pA_lower,mean_lower_margin,failure_reason_counts
7,fixed-config,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9700195849570433,0.9400391699140869,prediction-incorrect:4; zero-radius:8
7,fixed-config,clean-training,clean-training,0.01,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9584209980148012,0.9168419960296026,prediction-incorrect:4; zero-radius:8
7,fixed-config,clean-training,clean-training,0.01,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,1,0.9436743100130389,0.8873486200260778,positive-radius:4; prediction-incorrect:4; zero-radius:4
7,fixed-config,clean-training,clean-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.5833333333333334,0.0,0,0.5770276882984351,0.15405537659687008,prediction-incorrect:5; zero-radius:7
7,fixed-config,clean-training,clean-training,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.5833333333333334,0.0,0,0.6010786580883368,0.2021573161766735,prediction-incorrect:5; zero-radius:7
7,fixed-config,clean-training,clean-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.5,0.08333333333333333,1,0.6099579640516243,0.2199159281032486,positive-radius:1; prediction-incorrect:5; zero-radius:6
7,fixed-config,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9659976656704949,0.9319953313409903,prediction-incorrect:4; zero-radius:8
7,fixed-config,clean-training,clean-training,0.02,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.959584938400044,0.9191698768000885,prediction-incorrect:4; zero-radius:8
7,fixed-config,clean-training,clean-training,0.02,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.16666666666666666,0.5,1,0.9436054767857408,0.8872109535714819,positive-radius:6; prediction-incorrect:4; zero-radius:2
7,fixed-config,clean-training,clean-training,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.5833333333333334,0.0,0,0.5963057092524168,0.19261141850483332,prediction-incorrect:5; zero-radius:7
7,fixed-config,clean-training,clean-training,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.5833333333333334,0.25,0.0,0.5833333333333334,0.0,0,0.6092299458932795,0.2184598917865591,prediction-incorrect:5; zero-radius:7
7,fixed-config,clean-training,clean-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.08333333333333333,0.4166666666666667,0.16666666666666666,1,0.593938257084141,0.18787651416828233,abstained:1; positive-radius:2; prediction-incorrect:4; zero-radius:5
7,fixed-config,clean-training,clean-training,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.75,0.75,0.0,0.0,0.75,0.0,0,0.9632377659560255,0.9264755319120509,prediction-incorrect:3; zero-radius:9
7,fixed-config,clean-training,clean-training,0.05,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.75,0.75,0.0,0.0,0.75,0.0,0,0.9558925288243705,0.911785057648741,prediction-incorrect:3; zero-radius:9
7,fixed-config,clean-training,clean-training,0.05,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,12,0.75,0.75,0.0,0.0,0.5,0.25,1,0.9311114750128947,0.8622229500257892,positive-radius:3; prediction-incorrect:3; zero-radius:6
7,fixed-config,clean-training,clean-training,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.75,0.5833333333333334,0.25,0.0,0.5833333333333334,0.0,0,0.6121130076594805,0.224226015318961,prediction-incorrect:5; zero-radius:7
7,fixed-config,clean-training,clean-training,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.75,0.6666666666666666,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.0,0,0.5967807001757773,0.1935614003515549,abstained:1; prediction-incorrect:4; zero-radius:7
7,fixed-config,clean-training,clean-training,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.75,0.5833333333333334,0.3333333333333333,0.0,0.4166666666666667,0.16666666666666666,1,0.5964766173830731,0.19295323476614645,positive-radius:2; prediction-incorrect:5; zero-radius:5
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9668037978431795,0.9336075956863591,prediction-incorrect:4; zero-radius:8
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9588941191250195,0.9177882382500394,prediction-incorrect:4; zero-radius:8
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5,0.16666666666666666,1,0.92876522656506,0.8575304531301202,positive-radius:2; prediction-incorrect:4; zero-radius:6
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.08333333333333333,0.25,1,0.8303289977457667,0.6606579954915333,positive-radius:3; prediction-incorrect:8; zero-radius:1
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.08333333333333333,0.25,1,0.8361501768988812,0.6723003537977622,positive-radius:3; prediction-incorrect:8; zero-radius:1
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,4,0.897332051713411,0.7946641034268226,positive-radius:4; prediction-incorrect:8
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.967301891598178,0.9346037831963563,prediction-incorrect:4; zero-radius:8
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.959861062811873,0.9197221256237463,prediction-incorrect:4; zero-radius:8
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.4166666666666667,0.25,1,0.9300818853567566,0.8601637707135131,positive-radius:3; prediction-incorrect:4; zero-radius:5
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.08333333333333333,0.25,1,0.8420173148991131,0.684034629798226,positive-radius:3; prediction-incorrect:8; zero-radius:1
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.08333333333333333,0.25,1,0.8374376406469648,0.6748752812939295,positive-radius:3; prediction-incorrect:8; zero-radius:1
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,4,0.8980665332433387,0.7961330664866777,positive-radius:4; prediction-incorrect:8
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.75,0.75,0.0,0.0,0.75,0.0,0,0.9666052145610485,0.933210429122097,prediction-incorrect:3; zero-radius:9
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.75,0.75,0.0,0.0,0.75,0.0,0,0.9528058696060361,0.9056117392120723,prediction-incorrect:3; zero-radius:9
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,12,0.75,0.75,0.0,0.0,0.5833333333333334,0.16666666666666666,1,0.9282918730118612,0.8565837460237224,positive-radius:2; prediction-incorrect:3; zero-radius:7
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.75,0.3333333333333333,0.0,0.0,0.08333333333333333,0.25,1,0.8404525960283326,0.6809051920566652,positive-radius:3; prediction-incorrect:8; zero-radius:1
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.75,0.3333333333333333,0.0,0.0,0.08333333333333333,0.25,1,0.8331930320398908,0.6663860640797813,positive-radius:3; prediction-incorrect:8; zero-radius:1
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.75,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,3,0.8871071791544826,0.774214358308965,positive-radius:4; prediction-incorrect:8
7,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.971295514532465,0.9425910290649298,prediction-incorrect:4; zero-radius:8
7,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9597204114607468,0.9194408229214938,prediction-incorrect:4; zero-radius:8
7,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.4166666666666667,0.25,1,0.9382793393419483,0.8765586786838973,positive-radius:3; prediction-incorrect:4; zero-radius:5
7,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.5833333333333334,0.0,0,0.6080807881314781,0.21616157626295632,prediction-incorrect:5; zero-radius:7
7,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.0,0,0.589418851572899,0.17883770314579783,abstained:1; prediction-incorrect:4; zero-radius:7
7,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.08333333333333333,0.4166666666666667,0.16666666666666666,1,0.5899572624163169,0.17991452483263368,abstained:1; positive-radius:2; prediction-incorrect:4; zero-radius:5
7,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9689749323179918,0.9379498646359837,prediction-incorrect:4; zero-radius:8
7,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9598121319497116,0.9196242638994234,prediction-incorrect:4; zero-radius:8
7,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.25,0.4166666666666667,1,0.9429700751299152,0.88594015025983,positive-radius:5; prediction-incorrect:4; zero-radius:3
7,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.0,0.5833333333333334,0.0,0,0.5924311174467549,0.18486223489350984,prediction-incorrect:5; zero-radius:7
7,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.5833333333333334,0.0,0,0.6108984570111173,0.22179691402223478,prediction-incorrect:5; zero-radius:7
7,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.4166666666666667,0.16666666666666666,1,0.6071543402126547,0.21430868042530915,positive-radius:2; prediction-incorrect:5; zero-radius:5
7,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.75,0.75,0.0,0.0,0.75,0.0,0,0.9657257857323053,0.9314515714646104,prediction-incorrect:3; zero-radius:9
7,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.75,0.75,0.0,0.0,0.75,0.0,0,0.9523267039802136,0.9046534079604275,prediction-incorrect:3; zero-radius:9
7,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,12,0.75,0.75,0.0,0.0,0.5833333333333334,0.16666666666666666,1,0.9296497163132744,0.8592994326265492,positive-radius:2; prediction-incorrect:3; zero-radius:7
7,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.75,0.6666666666666666,0.25,0.08333333333333333,0.5833333333333334,0.0,0,0.5956924212777244,0.1913848425554486,abstained:1; prediction-incorrect:4; zero-radius:7
7,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.75,0.5833333333333334,0.3333333333333333,0.0,0.5833333333333334,0.0,0,0.5959823891212814,0.19196477824256264,prediction-incorrect:5; zero-radius:7
7,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.75,0.5833333333333334,0.3333333333333333,0.0,0.4166666666666667,0.16666666666666666,1,0.5963715136287128,0.19274302725742568,positive-radius:2; prediction-incorrect:5; zero-radius:5
42,fixed-config,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.8181818181818182,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0,0.9714817081629706,0.9429634163259415,prediction-incorrect:2; zero-radius:9
42,fixed-config,clean-training,clean-training,0.01,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.8181818181818182,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0,0.9574505768193305,0.9149011536386614,prediction-incorrect:2; zero-radius:9
42,fixed-config,clean-training,clean-training,0.01,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.8181818181818182,0.8181818181818182,0.0,0.0,0.45454545454545453,0.36363636363636365,1,0.9352645202469638,0.8705290404939278,positive-radius:4; prediction-incorrect:2; zero-radius:5
42,fixed-config,clean-training,clean-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,2,0.9575138049590706,0.9150276099181407,positive-radius:7; prediction-incorrect:4
42,fixed-config,clean-training,clean-training,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,2,0.9577116363885302,0.91542327277706,positive-radius:7; prediction-incorrect:4
42,fixed-config,clean-training,clean-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,5,0.9740558517408836,0.9481117034817675,positive-radius:7; prediction-incorrect:4
42,fixed-config,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.8181818181818182,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0,0.9692839562915204,0.9385679125830411,prediction-incorrect:2; zero-radius:9
42,fixed-config,clean-training,clean-training,0.02,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.8181818181818182,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0,0.9589926393086735,0.9179852786173474,prediction-incorrect:2; zero-radius:9
42,fixed-config,clean-training,clean-training,0.02,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.8181818181818182,0.8181818181818182,0.0,0.0,0.45454545454545453,0.36363636363636365,1,0.9342212881503655,0.8684425763007311,positive-radius:4; prediction-incorrect:2; zero-radius:5
42,fixed-config,clean-training,clean-training,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,2,0.9493918524655446,0.898783704931089,positive-radius:7; prediction-incorrect:4
42,fixed-config,clean-training,clean-training,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,2,0.9562096346519146,0.9124192693038289,positive-radius:7; prediction-incorrect:4
42,fixed-config,clean-training,clean-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,5,0.9714272494387587,0.9428544988775175,positive-radius:7; prediction-incorrect:4
42,fixed-config,clean-training,clean-training,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.8181818181818182,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0,0.9645533704069685,0.9291067408139373,prediction-incorrect:2; zero-radius:9
42,fixed-config,clean-training,clean-training,0.05,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.8181818181818182,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0,0.9548997867042552,0.9097995734085107,prediction-incorrect:2; zero-radius:9
42,fixed-config,clean-training,clean-training,0.05,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.8181818181818182,0.8181818181818182,0.0,0.0,0.6363636363636364,0.18181818181818182,1,0.9269433851457527,0.8538867702915055,positive-radius:2; prediction-incorrect:2; zero-radius:7
42,fixed-config,clean-training,clean-training,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,2,0.9547600547909432,0.9095201095818862,positive-radius:7; prediction-incorrect:4
42,fixed-config,clean-training,clean-training,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,2,0.9546934237878957,0.9093868475757911,positive-radius:7; prediction-incorrect:4
42,fixed-config,clean-training,clean-training,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,5,0.9712143951913437,0.942428790382687,positive-radius:7; prediction-incorrect:4
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.5833333333333334,0.5833333333333334,0.0,0.0,0.5833333333333334,0.0,0,0.9676918353030959,0.9353836706061918,prediction-incorrect:5; zero-radius:7
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.5833333333333334,0.5833333333333334,0.0,0.0,0.5833333333333334,0.0,0,0.9528515897183419,0.9057031794366838,prediction-incorrect:5; zero-radius:7
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,12,0.5833333333333334,0.5833333333333334,0.0,0.0,0.25,0.3333333333333333,1,0.9337231682111998,0.8674463364223998,positive-radius:4; prediction-incorrect:5; zero-radius:3
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.0,0,0.5653117616266647,0.13062352325332935,abstained:1; prediction-incorrect:7; zero-radius:4
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.0,0.4166666666666667,0.0,0,0.5659639890056504,0.13192797801130066,prediction-incorrect:7; zero-radius:5
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.5833333333333334,0.4166666666666667,0.25,0.08333333333333333,0.25,0.08333333333333333,1,0.5978363323472995,0.19567266469459896,abstained:1; positive-radius:1; prediction-incorrect:7; zero-radius:3
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.5833333333333334,0.5833333333333334,0.0,0.0,0.5833333333333334,0.0,0,0.9661641104853057,0.9323282209706113,prediction-incorrect:5; zero-radius:7
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.5833333333333334,0.5833333333333334,0.0,0.0,0.5833333333333334,0.0,0,0.9549127823617742,0.9098255647235486,prediction-incorrect:5; zero-radius:7
