model_variant,attack_variant,threshold,config_label,mode,p_delete,p_add,max_additions,num_seeds,seeds,evaluated_nodes_mean,evaluated_nodes_std,evaluated_nodes_sample_std,evaluated_nodes_sem,evaluated_nodes_ci95_half_width,evaluated_nodes_ci95_low,evaluated_nodes_ci95_high,evaluated_nodes_min,evaluated_nodes_max,purified_plain_correct_fraction_mean,purified_plain_correct_fraction_std,purified_plain_correct_fraction_sample_std,purified_plain_correct_fraction_sem,purified_plain_correct_fraction_ci95_half_width,purified_plain_correct_fraction_ci95_low,purified_plain_correct_fraction_ci95_high,purified_plain_correct_fraction_min,purified_plain_correct_fraction_max,correct_fraction_mean,correct_fraction_std,correct_fraction_sample_std,correct_fraction_sem,correct_fraction_ci95_half_width,correct_fraction_ci95_low,correct_fraction_ci95_high,correct_fraction_min,correct_fraction_max,abstained_fraction_mean,abstained_fraction_std,abstained_fraction_sample_std,abstained_fraction_sem,abstained_fraction_ci95_half_width,abstained_fraction_ci95_low,abstained_fraction_ci95_high,abstained_fraction_min,abstained_fraction_max,correct_abstained_fraction_mean,correct_abstained_fraction_std,correct_abstained_fraction_sample_std,correct_abstained_fraction_sem,correct_abstained_fraction_ci95_half_width,correct_abstained_fraction_ci95_low,correct_abstained_fraction_ci95_high,correct_abstained_fraction_min,correct_abstained_fraction_max,correct_zero_radius_fraction_mean,correct_zero_radius_fraction_std,correct_zero_radius_fraction_sample_std,correct_zero_radius_fraction_sem,correct_zero_radius_fraction_ci95_half_width,correct_zero_radius_fraction_ci95_low,correct_zero_radius_fraction_ci95_high,correct_zero_radius_fraction_min,correct_zero_radius_fraction_max,positive_certified_fraction_mean,positive_certified_fraction_std,positive_certified_fraction_sample_std,positive_certified_fraction_sem,positive_certified_fraction_ci95_half_width,positive_certified_fraction_ci95_low,positive_certified_fraction_ci95_high,positive_certified_fraction_min,positive_certified_fraction_max,max_reported_radius_mean,max_reported_radius_std,max_reported_radius_sample_std,max_reported_radius_sem,max_reported_radius_ci95_half_width,max_reported_radius_ci95_low,max_reported_radius_ci95_high,max_reported_radius_min,max_reported_radius_max,mean_pA_lower_mean,mean_pA_lower_std,mean_pA_lower_sample_std,mean_pA_lower_sem,mean_pA_lower_ci95_half_width,mean_pA_lower_ci95_low,mean_pA_lower_ci95_high,mean_pA_lower_min,mean_pA_lower_max,mean_lower_margin_mean,mean_lower_margin_std,mean_lower_margin_sample_std,mean_lower_margin_sem,mean_lower_margin_ci95_half_width,mean_lower_margin_ci95_low,mean_lower_margin_ci95_high,mean_lower_margin_min,mean_lower_margin_max
clean-training,clean-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,3,7; 42; 99,11.666666666666666,0.4714045207910317,0.5773502691896257,0.3333333333333333,0.6533333333333333,11.013333333333332,12.32,11.0,12.0,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.4343434343434343,0.2491440299882947,0.3051378729659962,0.17617143309686775,0.3452960088698608,0.08904742547357353,0.7796394432132951,0.08333333333333333,0.6363636363636364,0.1111111111111111,0.15713484026367722,0.19245008972987526,0.11111111111111112,0.2177777777777778,-0.10666666666666669,0.3288888888888889,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19444444444444445,0.2749859704614352,0.33678765702728175,0.19444444444444448,0.3811111111111112,-0.18666666666666673,0.5755555555555556,0.0,0.5833333333333334,0.23989898989898992,0.28239956684735895,0.3458674211795091,0.19968664872191125,0.39138583149494605,-0.15148684159595613,0.6312848213939359,0.0,0.6363636363636364,1.3333333333333333,0.9428090415820634,1.1547005383792517,0.6666666666666667,1.3066666666666669,0.026666666666666394,2.64,0.0,2.0,0.8384091415247226,0.1850665374543211,0.22665929261337922,0.13086180360466465,0.2564891350651427,0.5819200064595799,1.0948982765898654,0.5770276882984351,0.9806859313166619,0.676818283049445,0.37013307490864217,0.4533185852267584,0.2617236072093293,0.5129782701302854,0.16384001291915962,1.1897965531797303,0.15405537659687008,0.961371862633324
clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,3,7; 42; 99,11.666666666666666,0.4714045207910317,0.5773502691896257,0.3333333333333333,0.6533333333333333,11.013333333333332,12.32,11.0,12.0,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9702974013262285,0.0008758785277865827,0.0010727277348686326,0.0006193396464935826,0.0012139057071274219,0.9690834956191011,0.971511307033356,0.9693909108586717,0.9714817081629706,0.9405948026524573,0.001751757055573127,0.002145455469737218,0.001238679292987138,0.0024278114142547904,0.9381669912382026,0.9430226140667121,0.9387818217173437,0.9429634163259415
clean-training,clean-training,0.01,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,3,7; 42; 99,11.666666666666666,0.4714045207910317,0.5773502691896257,0.3333333333333333,0.6533333333333333,11.013333333333332,12.32,11.0,12.0,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9574467712357128,0.0007970109999366283,0.0009761351346150676,0.0005635718827354609,0.0011046008901615034,0.9563421703455512,0.9585513721258743,0.9564687388730068,0.9584209980148012,0.9148935424714258,0.0015940219998733021,0.001952270269230191,0.001127143765470954,0.0022092017803230697,0.9126843406911028,0.9171027442517489,0.9129374777460136,0.9168419960296026
clean-training,clean-training,0.01,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,3,7; 42; 99,11.666666666666666,0.4714045207910317,0.5773502691896257,0.3333333333333333,0.6533333333333333,11.013333333333332,12.32,11.0,12.0,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3181818181818182,0.1180133479348275,0.14453624263893114,0.08344803859524397,0.16355815564667817,0.15462366253514,0.4817399738284963,0.16666666666666666,0.45454545454545453,0.3434343434343434,0.014284985478516126,0.017495462702715948,0.01010101010101011,0.019797979797979818,0.3236363636363636,0.36323232323232324,0.3333333333333333,0.36363636363636365,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9364314377453384,0.005499640033466821,0.006735655925488356,0.0038888327617494006,0.007622112213028825,0.9288093255323097,0.9440535499583672,0.9303554829760124,0.9436743100130389,0.8728628754906769,0.010999280066933593,0.013471311850976652,0.007777665523498766,0.01524422442605758,0.8576186510646193,0.8881070999167344,0.860710965952025,0.8873486200260778
clean-training,clean-training,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,3,7; 42; 99,11.666666666666666,0.4714045207910317,0.5773502691896257,0.3333333333333333,0.6533333333333333,11.013333333333332,12.32,11.0,12.0,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.4343434343434343,0.2491440299882947,0.3051378729659962,0.17617143309686775,0.3452960088698608,0.08904742547357353,0.7796394432132951,0.08333333333333333,0.6363636363636364,0.1111111111111111,0.15713484026367722,0.19245008972987526,0.11111111111111112,0.2177777777777778,-0.10666666666666669,0.3288888888888889,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19444444444444445,0.2749859704614352,0.33678765702728175,0.19444444444444448,0.3811111111111112,-0.18666666666666673,0.5755555555555556,0.0,0.5833333333333334,0.23989898989898992,0.28239956684735895,0.3458674211795091,0.19968664872191125,0.39138583149494605,-0.15148684159595613,0.6312848213939359,0.0,0.6363636363636364,1.3333333333333333,0.9428090415820634,1.1547005383792517,0.6666666666666667,1.3066666666666669,0.026666666666666394,2.64,0.0,2.0,0.8464920752645096,0.17378677271189902,0.21284445859459408,0.12288580546510905,0.24085617871161374,0.6056358965528958,1.0873482539761234,0.6010786580883368,0.9806859313166619,0.6929841505290192,0.34757354542379804,0.42568891718918817,0.2457716109302181,0.4817123574232275,0.2112717931057917,1.1746965079522467,0.2021573161766735,0.961371862633324
clean-training,clean-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,3,7; 42; 99,11.666666666666666,0.4714045207910317,0.5773502691896257,0.3333333333333333,0.6533333333333333,11.013333333333332,12.32,11.0,12.0,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.4343434343434343,0.2491440299882947,0.3051378729659962,0.17617143309686775,0.3452960088698608,0.08904742547357353,0.7796394432132951,0.08333333333333333,0.6363636363636364,0.1111111111111111,0.15713484026367722,0.19245008972987526,0.11111111111111112,0.2177777777777778,-0.10666666666666669,0.3288888888888889,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.23570226039551584,0.2886751345948129,0.16666666666666669,0.3266666666666667,-0.16000000000000006,0.4933333333333334,0.0,0.5,0.2676767676767677,0.26070098498291905,0.3192921943245658,0.18434343434343436,0.36131313131313136,-0.09363636363636368,0.628989898989899,0.08333333333333333,0.6363636363636364,3.6666666666666665,1.8856180831641267,2.3094010767585034,1.3333333333333335,2.6133333333333337,1.0533333333333328,6.28,1.0,5.0,0.8550636547837054,0.1733402779487589,0.212297616423335,0.12257008599032838,0.24023736854104363,0.6148262862426618,1.095301023324749,0.6099579640516243,0.9811771485586083,0.7101273095674111,0.34668055589751795,0.42459523284667017,0.24514017198065688,0.4804747370820875,0.22965257248532361,1.1906020466494986,0.2199159281032486,0.9623542971172169
clean-training,clean-training,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,3,7; 42; 99,11.666666666666666,0.4714045207910317,0.5773502691896257,0.3333333333333333,0.6533333333333333,11.013333333333332,12.32,11.0,12.0,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.4343434343434343,0.2491440299882947,0.3051378729659962,0.17617143309686775,0.3452960088698608,0.08904742547357353,0.7796394432132951,0.08333333333333333,0.6363636363636364,0.1111111111111111,0.15713484026367722,0.19245008972987526,0.11111111111111112,0.2177777777777778,-0.10666666666666669,0.3288888888888889,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19444444444444445,0.2749859704614352,0.33678765702728175,0.19444444444444448,0.3811111111111112,-0.18666666666666673,0.5755555555555556,0.0,0.5833333333333334,0.23989898989898992,0.28239956684735895,0.3458674211795091,0.19968664872191125,0.39138583149494605,-0.15148684159595613,0.6312848213939359,0.0,0.6363636363636364,1.3333333333333333,0.9428090415820634,1.1547005383792517,0.6666666666666667,1.3066666666666669,0.026666666666666394,2.64,0.0,2.0,0.8422915700921898,0.17442163295062552,0.21362200041602478,0.12333471944501825,0.24173605011223578,0.600555519979954,1.0840276202044257,0.5963057092524168,0.9811771485586083,0.6845831401843797,0.34884326590125114,0.4272440008320498,0.24666943889003665,0.48347210022447185,0.20111103995990787,1.1680552404088516,0.19261141850483332,0.9623542971172169
clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,3,7; 42; 99,11.666666666666666,0.4714045207910317,0.5773502691896257,0.3333333333333333,0.6533333333333333,11.013333333333332,12.32,11.0,12.0,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9684761692977238,0.0017876235739813472,0.002189382804212358,0.0012640407513711425,0.0024775198726874393,0.9659986494250364,0.9709536891704112,0.9659976656704949,0.9701468859311563,0.9369523385954482,0.0035752471479626956,0.0043787656084247175,0.0025280815027422863,0.004955039745374881,0.9319972988500733,0.9419073783408232,0.9319953313409903,0.9402937718623131
clean-training,clean-training,0.02,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,3,7; 42; 99,11.666666666666666,0.4714045207910317,0.5773502691896257,0.3333333333333333,0.6533333333333333,11.013333333333332,12.32,11.0,12.0,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9584876918875495,0.0011584396413861265,0.00141879300960437,0.0008191405260194424,0.001605515430998107,0.9568821764565514,0.9600932073185475,0.9568854979539312,0.959584938400044,0.9169753837750996,0.0023168792827723233,0.002837586019208826,0.0016382810520389343,0.0032110308619963113,0.9137643529131032,0.9201864146370959,0.9137709959078627,0.9191698768000885
clean-training,clean-training,0.02,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,3,7; 42; 99,11.666666666666666,0.4714045207910317,0.5773502691896257,0.3333333333333333,0.6533333333333333,11.013333333333332,12.32,11.0,12.0,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2904040404040404,0.12094878802856612,0.1481314078390148,0.08552370819129344,0.16762646805493514,0.12277757234910525,0.4580305084589755,0.16666666666666666,0.45454545454545453,0.37121212121212127,0.10220255729721243,0.12517205789286595,0.07226812131946558,0.14164551778615253,0.22956660342596874,0.5128576389982737,0.25,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9374305742096899,0.004367448536562834,0.005349010196222032,0.0030882524766868433,0.006052974854306213,0.9313775993553837,0.9434835490639961,0.9342212881503655,0.9436054767857408,0.8748611484193799,0.0087348970731259,0.010698020392444349,0.0061765049533738505,0.012105949708612746,0.8627551987107671,0.8869670981279927,0.8684425763007311,0.8872109535714819
clean-training,clean-training,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,3,7; 42; 99,11.666666666666666,0.4714045207910317,0.5773502691896257,0.3333333333333333,0.6533333333333333,11.013333333333332,12.32,11.0,12.0,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.4343434343434343,0.2491440299882947,0.3051378729659962,0.17617143309686775,0.3452960088698608,0.08904742547357353,0.7796394432132951,0.08333333333333333,0.6363636363636364,0.08333333333333333,0.11785113019775792,0.14433756729740646,0.08333333333333334,0.16333333333333336,-0.08000000000000003,0.2466666666666667,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19444444444444445,0.2749859704614352,0.33678765702728175,0.19444444444444448,0.3811111111111112,-0.18666666666666673,0.5755555555555556,0.0,0.5833333333333334,0.23989898989898992,0.28239956684735895,0.3458674211795091,0.19968664872191125,0.39138583149494605,-0.15148684159595613,0.6312848213939359,0.0,0.6363636363636364,1.3333333333333333,0.9428090415820634,1.1547005383792517,0.6666666666666667,1.3066666666666669,0.026666666666666394,2.64,0.0,2.0,0.8488722430346008,0.16975898036539377,0.2079114405751815,0.12003772618368393,0.2352739433200205,0.6135982997145804,1.0841461863546213,0.6092299458932795,0.9811771485586083,0.6977444860692016,0.3395179607307875,0.4158228811503629,0.2400754523673678,0.4705478866400409,0.2271965994291607,1.1682923727092425,0.2184598917865591,0.9623542971172169
clean-training,clean-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,3,7; 42; 99,11.666666666666666,0.4714045207910317,0.5773502691896257,0.3333333333333333,0.6533333333333333,11.013333333333332,12.32,11.0,12.0,0.6616161616161617,0.12994626596230918,0.1591510227938256,0.09188588585181948,0.18009633626956617,0.4815198253465955,0.8417124978857278,0.5,0.8181818181818182,0.4621212121212121,0.268129025220884,0.3283896485105037,0.1895958519666259,0.37160786985458677,0.09051334226662533,0.8337290819757989,0.08333333333333333,0.6666666666666666,0.1111111111111111,0.15713484026367722,0.19245008972987526,0.11111111111111112,0.2177777777777778,-0.10666666666666669,0.3288888888888889,0.0,0.3333333333333333,0.027777777777777776,0.039283710065919304,0.048112522432468816,0.02777777777777778,0.05444444444444445,-0.026666666666666672,0.08222222222222222,0.0,0.08333333333333333,0.1388888888888889,0.19641855032959654,0.2405626121623441,0.13888888888888892,0.2722222222222223,-0.13333333333333341,0.4111111111111112,0.0,0.4166666666666667,0.29545454545454547,0.24344796474737435,0.2981616462750671,0.17214370673893198,0.33740166520830667,-0.0419471197537612,0.6328562106628521,0.08333333333333333,0.6363636363636364,3.6666666666666665,1.8856180831641267,2.3094010767585034,1.3333333333333335,2.6133333333333337,1.0533333333333328,6.28,1.0,5.0,0.848847551693836,0.18029203438129854,0.22081174446125143,0.12748572010493436,0.24987201140567133,0.5989755402881647,1.0987195630995072,0.593938257084141,0.9811771485586083,0.6976951033876723,0.3605840687625971,0.44162348892250286,0.2549714402098687,0.49974402281134267,0.1979510805763296,1.197439126199015,0.18787651416828233,0.9623542971172169
